system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:377  _al_score_display_settings       [   0.19667] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19669] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19671] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19672] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19676] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19678] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19679] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19681] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19683] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19685] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19686] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19688] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19690] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19692] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19693] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19697] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19699] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19700] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19702] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19704] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19706] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19709] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19712] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19713] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19715] Single Buffer requirement not met.
